Time,Value,Temperature,Reading
0.0,0,86.3F,9.1
0.05,0,86.3F,9.1
0.1,0,86.3F,9.1
0.15,1,86.3F,9.1
0.2,-1,86.4F,9.1
0.25,2,86.3F,9.1
0.3,0,86.3F,9.1
0.35,0,86.4F,9.1
0.4,2,86.3F,9.1
0.45,0,86.4F,9.1
0.5,-1,86.4F,9.1
0.55,4,86.3F,9.1
0.6,9,86.4F,9.1
0.65,10,86.4F,9.1
0.7,14,86.4F,9.1
0.75,17,86.4F,9.1
0.8,22,86.4F,9.1
0.85,31,86.4F,9.1
0.9,41,86.4F,9.1
0.95,48,86.4F,9.1
1.0,59,86.4F,9.1
1.05,70,86.4F,9.1
1.1,80,86.4F,9.1
1.15,91,86.4F,9.1
1.2,105,86.4F,9.1
1.25,119,86.4F,9.1
1.3,138,86.4F,9.1
1.35,157,86.4F,9.1
1.4,174,86.4F,9.1
1.45,192,86.4F,9.1
1.5,213,86.4F,9.1
1.55,232,86.4F,9.1
1.6,255,86.3F,9.1
1.65,278,86.4F,9.1
1.7,300,86.4F,9.1
1.75,325,86.4F,9.1
1.8,354,86.4F,9.1
1.85,382,86.4F,9.1
1.9,410,86.4F,9.1
1.95,437,86.4F,9.1
2.0,472,86.3F,9.1
2.05,502,86.4F,9.1
2.1,536,86.4F,9.1
2.15,571,86.4F,9.1
2.2,600,86.4F,9.1
2.25,640,86.4F,9.1
2.3,674,86.4F,9.1
2.35,712,86.4F,9.1
2.4,730,86.4F,9.1
2.45,772,86.4F,9.1
2.5,869,86.4F,9.1
2.55,922,86.4F,9.1
2.6,987,86.4F,9.1
2.65,1024,86.3F,9.1
2.7,1088,86.4F,9.1
2.75,1146,86.4F,9.1
2.8,1189,86.4F,9.1
2.85,1240,86.4F,9.1
2.9,1306,86.4F,9.1
2.95,1362,86.4F,9.1
3.0,1408,86.4F,9.1
3.05,1447,86.4F,9.1
3.1,1506,86.4F,9.1
3.15,1559,86.4F,9.1
3.2,1607,86.4F,9.1
3.25,1657,86.4F,9.1
3.3,1701,86.4F,9.1
3.35,1711,86.4F,9.1
3.4,1780,86.4F,9.1
3.45,1829,86.4F,9.1
3.5,1855,86.4F,9.1
3.55,1919,86.4F,9.1
3.6,1966,86.4F,9.1
3.65,2013,86.4F,9.1
3.7,2059,86.4F,9.1
3.75,2101,86.4F,9.1
3.8,2147,86.4F,9.1
3.85,2189,86.4F,9.1
3.9,2215,86.4F,9.1
3.95,2267,86.4F,9.1
4.0,2307,86.4F,9.1
4.05,2332,86.4F,9.1
4.1,2389,86.4F,9.1
4.15,2437,86.4F,9.1
4.2,2479,86.4F,9.1
4.25,2529,86.4F,9.1
4.3,2557,86.4F,9.1
4.35,2592,86.4F,9.1
4.4,2647,86.4F,9.1
4.45,2685,86.4F,9.1
4.5,2715,86.4F,9.1
4.55,2757,86.4F,9.1
4.6,2804,86.4F,9.1
4.65,2851,86.4F,9.1
4.7,2897,86.4F,9.1
4.75,2929,86.4F,9.1
4.8,2944,86.5F,9.1
4.85,2982,86.4F,9.1
4.9,3036,86.4F,9.1
4.95,3074,86.4F,9.1
5.0,3097,86.5F,9.1
5.05,3144,86.5F,9.1
5.1,3186,86.4F,9.1
5.15,3222,86.4F,9.1
5.2,3261,86.4F,9.1
5.25,3302,86.4F,9.1
5.3,3332,86.4F,9.1
5.35,3366,86.4F,9.1
5.4,3406,86.4F,9.1
5.45,3442,86.4F,9.1
5.5,3483,86.4F,9.1
5.55,3516,86.4F,9.1
5.6,3550,86.4F,9.1
5.65,3586,86.4F,9.1
5.7,3625,86.4F,9.1
5.75,3660,86.4F,9.1
5.8,3698,86.4F,9.1
5.85,3733,86.4F,9.1
5.9,3769,86.4F,9.1
5.95,3801,86.4F,9.1
6.0,3835,86.4F,9.1
6.05,3874,86.4F,9.1
6.1,3907,86.4F,9.1
6.15,3938,86.4F,9.1
6.2,3974,86.4F,9.1
6.25,4014,86.4F,9.1
6.3,4046,86.4F,9.1
6.35,4075,86.4F,9.1
6.4,4110,86.4F,9.1
6.45,4143,86.4F,9.1
6.5,4174,86.4F,9.1
6.55,4208,86.4F,9.1
6.6,4238,86.4F,9.1
6.65,4271,86.4F,9.1
6.7,4304,86.4F,9.1
6.75,4338,86.4F,9.1
6.8,4368,86.4F,9.1
6.85,4398,86.4F,9.1
6.9,4430,86.4F,9.1
6.95,4461,86.4F,9.1
7.0,4491,86.4F,9.1
7.05,4519,86.4F,9.1
7.1,4552,86.4F,9.1
7.15,4585,86.4F,9.1
7.2,4614,86.4F,9.1
7.25,4646,86.4F,9.1
7.3,4679,86.4F,9.1
7.35,4701,86.4F,9.1
7.4,4724,86.4F,9.1
7.45,4753,86.4F,9.1
7.5,4786,86.4F,9.1
7.55,4813,86.4F,9.1
7.6,4841,86.4F,9.1
7.65,4870,86.4F,9.1
7.7,4901,86.4F,9.1
7.75,4930,86.4F,9.1
7.8,4954,86.4F,9.1
7.85,4984,86.4F,9.1
7.9,5014,86.4F,9.1
7.95,5041,86.4F,9.1
8.0,5070,86.4F,9.1
8.05,5097,86.4F,9.1
8.1,5123,86.4F,9.1
8.15,5152,86.4F,9.1
8.2,5178,86.4F,9.1
8.25,5205,86.4F,9.1
8.3,5231,86.4F,9.1
8.35,5259,86.4F,9.1
8.4,5287,86.4F,9.1
8.45,5314,86.4F,9.1
8.5,5340,86.4F,9.1
8.55,5367,86.4F,9.1
8.6,5393,86.4F,9.1
8.65,5420,86.4F,9.1
8.7,5443,86.4F,9.1
8.75,5469,86.4F,9.1
8.8,5491,86.4F,9.1
8.85,5516,86.4F,9.1
8.9,5541,86.4F,9.1
8.95,5563,86.4F,9.1
9.0,5589,86.4F,9.1
9.05,5616,86.4F,9.1
9.1,5639,86.4F,9.1
9.15,5662,86.4F,9.1
9.2,5683,86.4F,9.1
9.25,5709,86.4F,9.1
9.3,5730,86.4F,9.1
9.35,5756,86.4F,9.1
9.4,5779,86.4F,9.1
9.45,5802,86.4F,9.1
9.5,5823,86.4F,9.1
9.55,5846,86.4F,9.1
9.6,5869,86.4F,9.1
9.65,5892,86.4F,9.1
9.7,5913,86.4F,9.1
9.75,5934,86.4F,9.1
9.8,5956,86.5F,9.1
9.85,5978,86.4F,9.1
9.9,5999,86.5F,9.1
9.95,6022,86.5F,9.1
10.0,6043,86.5F,9.1
10.05,6065,86.5F,9.1
10.1,6087,86.5F,9.1
10.15,6109,86.5F,9.1
10.2,6128,86.5F,9.1
10.25,6150,86.5F,9.1
10.3,6171,86.5F,9.1
10.35,6193,86.5F,9.1
10.4,6213,86.5F,9.1
10.45,6230,86.5F,9.1
10.5,6252,86.5F,9.1
10.55,6272,86.5F,9.1
10.6,6292,86.5F,9.1
10.65,6310,86.5F,9.1
10.7,6330,86.5F,9.1
10.75,6350,86.5F,9.1
10.8,6368,86.5F,9.1
10.85,6388,86.5F,9.1
10.9,6408,86.5F,9.1
10.95,6427,86.5F,9.1
11.0,6444,86.5F,9.1
11.05,6465,86.5F,9.1
11.1,6485,86.5F,9.1
11.15,6504,86.5F,9.1
11.2,6523,86.5F,9.1
11.25,6544,86.5F,9.1
11.3,6559,86.5F,9.1
11.35,6578,86.5F,9.1
11.4,6597,86.5F,9.1
11.45,6613,86.5F,9.1
11.5,6632,86.5F,9.1
11.55,6650,86.5F,9.1
11.6,6666,86.5F,9.1
11.65,6684,86.5F,9.1
11.7,6701,86.5F,9.1
11.75,6719,86.5F,9.1
11.8,6737,86.5F,9.1
11.85,6754,86.5F,9.1
11.9,6771,86.5F,9.1
11.95,6788,86.5F,9.1
12.0,6804,86.5F,9.1
12.05,6819,86.5F,9.1
12.1,6836,86.5F,9.1
12.15,6853,86.5F,9.1
12.2,6867,86.5F,9.1
12.25,6886,86.5F,9.1
12.3,6902,86.5F,9.1
12.35,6918,86.5F,9.1
12.4,6934,86.5F,9.1
12.45,6947,86.5F,9.1
12.5,6965,86.5F,9.1
12.55,6981,86.5F,9.1
12.6,6995,86.5F,9.1
12.65,7012,86.5F,9.1
12.7,7028,86.5F,9.1
12.75,7042,86.5F,9.1
12.8,7056,86.5F,9.1
12.85,7071,86.5F,9.1
12.9,7087,86.5F,9.1
12.95,7101,86.5F,9.1
13.0,7118,86.5F,9.1
13.05,7132,86.5F,9.1
13.1,7146,86.5F,9.1
13.15,7159,86.5F,9.1
13.2,7173,86.5F,9.1
13.25,7188,86.5F,9.1
13.3,7202,86.5F,9.1
13.35,7216,86.5F,9.1
13.4,7229,86.5F,9.1
13.45,7243,86.5F,9.1
13.5,7255,86.5F,9.1
13.55,7268,86.5F,9.1
13.6,7284,86.5F,9.1
13.65,7295,86.5F,9.1
13.7,7308,86.5F,9.1
13.75,7322,86.5F,9.1
13.8,7336,86.5F,9.1
13.85,7349,86.5F,9.1
13.9,7361,86.5F,9.1
13.95,7375,86.5F,9.1
14.0,7387,86.5F,9.1
14.05,7400,86.5F,9.1
14.1,7412,86.5F,9.1
14.15,7425,86.5F,9.1
14.2,7435,86.5F,9.1
14.25,7449,86.5F,9.1
14.3,7461,86.5F,9.1
14.35,7473,86.5F,9.1
14.4,7484,86.5F,9.1
14.45,7496,86.5F,9.1
14.5,7507,86.5F,9.1
14.55,7520,86.5F,9.1
14.6,7532,86.5F,9.1
14.65,7542,86.5F,9.1
14.7,7554,86.5F,9.1
14.75,7566,86.5F,9.1
14.8,7575,86.5F,9.1
14.85,7587,86.5F,9.1
14.9,7597,86.5F,9.1
14.95,7609,86.5F,9.1
15.0,7618,86.5F,9.1
15.05,7630,86.5F,9.1
15.1,7640,86.5F,9.1
15.15,7650,86.5F,9.1
15.2,7659,86.5F,9.1
15.25,7669,86.5F,9.1
15.3,7680,86.5F,9.1
15.35,7689,86.5F,9.1
15.4,7699,86.5F,9.1
15.45,7710,86.5F,9.1
15.5,7721,86.5F,9.1
15.55,7731,86.5F,9.1
15.6,7741,86.5F,9.1
15.65,7748,86.5F,9.1
15.7,7758,86.5F,9.1
15.75,7768,86.5F,9.1
15.8,7778,86.5F,9.1
15.85,7789,86.5F,9.1
15.9,7796,86.5F,9.1
15.95,7805,86.5F,9.1
16.0,7813,86.5F,9.1
16.05,7822,86.5F,9.1
16.1,7830,86.5F,9.1
16.15,7840,86.5F,9.1
16.2,7847,86.5F,9.1
16.25,7855,86.5F,9.1
16.3,7865,86.5F,9.1
16.35,7874,86.5F,9.1
16.4,7881,86.5F,9.1
16.45,7889,86.5F,9.1
16.5,7897,86.5F,9.1
16.55,7906,86.5F,9.1
16.6,7915,86.5F,9.1
16.65,7919,86.5F,9.1
16.7,7930,86.5F,9.1
16.75,7936,86.5F,9.1
16.8,7944,86.5F,9.1
16.85,7951,86.5F,9.1
16.9,7958,86.5F,9.1
16.95,7965,86.5F,9.1
17.0,7973,86.5F,9.1
17.05,7979,86.5F,9.1
17.1,7986,86.5F,9.1
17.15,7993,86.5F,9.1
17.2,7998,86.5F,9.1
17.25,8006,86.5F,9.1
17.3,8012,86.5F,9.1
17.35,8019,86.5F,9.1
17.4,8025,86.5F,9.1
17.45,8032,86.5F,9.1
17.5,8037,86.5F,9.1
17.55,8044,86.5F,9.1
17.6,8050,86.5F,9.1
17.65,8056,86.5F,9.1
17.7,8062,86.5F,9.1
17.75,8067,86.5F,9.1
17.8,8075,86.5F,9.1
17.85,8079,86.5F,9.1
17.9,8086,86.5F,9.1
17.95,8090,86.5F,9.1
18.0,8094,86.5F,9.1
18.05,8100,86.5F,9.1
18.1,8106,86.5F,9.1
18.15,8111,86.5F,9.1
18.2,8116,86.5F,9.1
18.25,8120,86.5F,9.1
18.3,8125,86.5F,9.1
18.35,8131,86.5F,9.1
18.4,8136,86.5F,9.1
18.45,8141,86.5F,9.1
18.5,8144,86.5F,9.1
18.55,8151,86.5F,9.1
18.6,8154,86.5F,9.1
18.65,8157,86.5F,9.1
18.7,8163,86.5F,9.1
18.75,8167,86.5F,9.1
18.8,8171,86.5F,9.1
18.85,8174,86.5F,9.1
18.9,8180,86.5F,9.1
18.95,8185,86.5F,9.1
19.0,8187,86.5F,9.1
19.05,8190,86.5F,9.1
19.1,8193,86.5F,9.1
19.15,8196,86.5F,9.1
19.2,8202,86.5F,9.1
19.25,8205,86.5F,9.1
19.3,8207,86.5F,9.1
19.35,8211,86.5F,9.1
19.4,8214,86.5F,9.1
19.45,8217,86.5F,9.1
19.5,8219,86.5F,9.1
19.55,8223,86.5F,9.1
19.6,8225,86.5F,9.1
19.65,8228,86.5F,9.1
19.7,8230,86.5F,9.1
19.75,8233,86.5F,9.1
19.8,8235,86.5F,9.1
19.85,8238,86.5F,9.1
19.9,8239,86.5F,9.1
19.95,8241,86.5F,9.1
20.0,8243,86.5F,9.1
20.05,8244,86.5F,9.1
20.1,8247,86.5F,9.1
20.15,8249,86.5F,9.1
20.2,8253,86.5F,9.1
20.25,8254,86.5F,9.1
20.3,8254,86.5F,9.1
20.35,8257,86.5F,9.1
20.4,8257,86.5F,9.1
20.45,8259,86.5F,9.1
20.5,8261,86.5F,9.1
20.55,8262,86.5F,9.1
20.6,8264,86.5F,9.1
20.65,8265,86.5F,9.1
20.7,8266,86.5F,9.1
20.75,8266,86.5F,9.1
20.8,8267,86.5F,9.1
20.85,8268,86.5F,9.1
20.9,8269,86.5F,9.1
20.95,8269,86.5F,9.1
21.0,8272,86.5F,9.1
21.05,8270,86.5F,9.1
21.1,8270,86.5F,9.1
21.15,8269,86.5F,9.0
21.2,8259,86.5F,9.1
21.25,8201,86.5F,8.8
21.3,8272,86.5F,9.0
21.35,8272,86.5F,9.1
21.4,8272,86.5F,9.1
21.45,8274,86.5F,9.1
21.5,8274,86.5F,9.1
21.55,8275,86.5F,9.1
21.6,8275,86.5F,9.1
21.65,8274,86.5F,9.1
21.7,8275,86.5F,9.1
21.75,8274,86.5F,9.1
21.8,8275,86.5F,9.1
21.85,8275,86.5F,9.1
21.9,8274,86.5F,9.1
21.95,8274,86.5F,9.1
22.0,8275,86.5F,9.1
22.05,8275,86.5F,9.1
22.1,8281,86.5F,9.1
22.15,8273,86.5F,9.1
22.2,8272,86.5F,9.1
22.25,8280,86.5F,9.1
22.3,8285,86.5F,9.1
22.35,8285,86.5F,9.1
22.4,8275,86.5F,9.1
22.45,8274,86.5F,9.1
22.5,8270,86.5F,9.1
22.55,8268,86.5F,9.1
22.6,8269,86.5F,9.1
22.65,8268,86.5F,9.1
22.7,8264,86.5F,9.1
22.75,8263,86.5F,9.1
22.8,8260,86.5F,9.1
22.85,8256,86.5F,9.1
22.9,8251,86.5F,9.1
22.95,8249,86.5F,9.1
23.0,8248,86.5F,9.1
23.05,8245,86.5F,9.1
23.1,8248,86.5F,9.1
23.15,8247,86.5F,9.1
23.2,8245,86.5F,9.1
23.25,8246,86.5F,9.1
23.3,8241,86.5F,9.1
23.35,8237,86.5F,9.1
23.4,8239,86.5F,9.1
23.45,8244,86.5F,9.1
23.5,8245,86.5F,9.1
23.55,8244,86.5F,9.1
23.6,8245,86.5F,9.1
23.65,8245,86.5F,9.1
23.7,8245,86.5F,9.1
23.75,8240,86.5F,9.1
23.8,8230,86.5F,9.1
23.85,8224,86.5F,9.1
23.9,8208,86.5F,9.1
23.95,8203,86.5F,9.1
24.0,8192,86.5F,9.1
24.05,8186,86.5F,9.1
24.1,8181,86.5F,9.1
24.15,8179,86.5F,9.1
24.2,8178,86.5F,9.1
24.25,8181,86.5F,9.1
24.3,8173,86.5F,9.1
24.35,8170,86.5F,9.1
24.4,8167,86.5F,9.1
24.45,8173,86.5F,9.1
24.5,8171,86.5F,9.1
24.55,8166,86.5F,9.1
24.6,8159,86.5F,9.1
24.65,8153,86.5F,9.1
24.7,8152,86.5F,9.1
24.75,8149,86.5F,9.1
24.8,8142,86.5F,9.1
24.85,8137,86.5F,9.1
24.9,8134,86.5F,9.1
24.95,8130,86.5F,9.1
25.0,8125,86.5F,9.1
25.05,8125,86.5F,9.1
25.1,8124,86.5F,9.1
25.15,8121,86.5F,9.1
25.2,8118,86.5F,9.1
25.25,8113,86.5F,9.1
25.3,8108,86.5F,9.1
25.35,8103,86.5F,9.1
25.4,8102,86.5F,9.1
25.45,8108,86.5F,9.1
25.5,8103,86.5F,9.1
25.55,8098,86.5F,9.1
25.6,8105,86.5F,9.1
25.65,8103,86.5F,9.1
25.7,8097,86.5F,9.1
25.75,8086,86.5F,9.1
25.8,8081,86.5F,9.1
25.85,8072,86.5F,9.1
25.9,8070,86.5F,9.1
25.95,8065,86.5F,9.1
26.0,8064,86.5F,9.1
26.05,8060,86.5F,9.1
26.1,8056,86.5F,9.1
26.15,8053,86.5F,9.1
26.2,8052,86.5F,9.1
26.25,8050,86.5F,9.1
26.3,8049,86.5F,9.1
26.35,8046,86.5F,9.1
26.4,8038,86.5F,9.1
26.45,8038,86.5F,9.1
26.5,8051,86.5F,9.1
26.55,8056,86.5F,9.1
26.6,8051,86.5F,9.1
26.65,8046,86.5F,9.1
26.7,8042,86.5F,9.1
26.75,8041,86.5F,9.1
26.8,8012,86.5F,9.1
26.85,8008,86.5F,9.1
26.9,8003,86.5F,9.1
26.95,7999,86.5F,9.1
27.0,7997,86.5F,9.1
27.05,7995,86.5F,9.1
27.1,7992,86.5F,9.1
27.15,7988,86.5F,9.1
27.2,7988,86.5F,9.1
27.25,7984,86.5F,9.1
27.3,7984,86.5F,9.1
27.35,7983,86.5F,9.1
27.4,7983,86.5F,9.1
27.45,7980,86.5F,9.1
27.5,7984,86.5F,9.1
27.55,7983,86.5F,9.1
27.6,7985,86.5F,9.1
27.65,7975,86.5F,9.1
27.7,7974,86.5F,9.1
27.75,7959,86.5F,9.1
27.8,7955,86.5F,9.1
27.85,7947,86.5F,9.1
27.9,7935,86.5F,9.1
27.95,7932,86.5F,9.1
28.0,7928,86.5F,9.1
28.05,7925,86.5F,9.1
28.1,7921,86.5F,9.1
28.15,7919,86.5F,9.1
28.2,7914,86.5F,9.1
28.25,7911,86.5F,9.1
28.3,7908,86.5F,9.1
28.35,7905,86.5F,9.1
28.4,7904,86.5F,9.1
28.45,7900,86.5F,9.1
28.5,7897,86.5F,9.1
28.55,7896,86.5F,9.1
28.6,7894,86.5F,9.1
28.65,7888,86.5F,9.1
28.7,7884,86.5F,9.1
28.75,7879,86.5F,9.1
28.8,7874,86.5F,9.1
28.85,7874,86.5F,9.1
28.9,7872,86.5F,9.1
28.95,7868,86.5F,9.1
29.0,7866,86.5F,9.1
29.05,7860,86.5F,9.1
29.1,7862,86.5F,9.1
29.15,7857,86.5F,9.1
29.2,7852,86.5F,9.1
29.25,7850,86.5F,9.1
29.3,7843,86.5F,9.1
29.35,7838,86.5F,9.1
29.4,7834,86.5F,9.1
29.45,7830,86.5F,9.1
29.5,7826,86.5F,9.1
29.55,7822,86.5F,9.1
29.6,7819,86.5F,9.1
29.65,7817,86.5F,9.1
29.7,7816,86.5F,9.1
29.75,7812,86.5F,9.1
29.8,7808,86.5F,9.1
29.85,7808,86.5F,9.1
29.9,7811,86.5F,9.1
29.95,7809,86.5F,9.1
30.0,7821,86.5F,9.1
30.05,7803,86.5F,9.1
30.1,7801,86.5F,9.1
30.15,7791,86.5F,9.1
30.2,7786,86.5F,9.1
30.25,7781,86.5F,9.1
30.3,7776,86.5F,9.1
30.35,7772,86.5F,9.1
30.4,7770,86.5F,9.1
30.45,7765,86.5F,9.1
30.5,7758,86.5F,9.1
30.55,7755,86.5F,9.1
30.6,7751,86.5F,9.1
30.65,7749,86.5F,9.1
30.7,7746,86.5F,9.1
30.75,7748,86.5F,9.1
30.8,7744,86.5F,9.1
30.85,7739,86.5F,9.1
30.9,7737,86.5F,9.1
30.95,7736,86.5F,9.1
31.0,7731,86.5F,9.1
31.05,7715,86.5F,9.1
31.1,7709,86.5F,9.1
31.15,7708,86.5F,9.1
31.2,7705,86.5F,9.1
31.25,7700,86.5F,9.1
31.3,7696,86.5F,9.1
31.35,7693,86.5F,9.1
31.4,7689,86.5F,9.1
31.45,7686,86.5F,9.1
31.5,7682,86.5F,9.1
31.55,7680,86.5F,9.1
31.6,7679,86.5F,9.1
31.65,7679,86.5F,9.1
31.7,7677,86.5F,9.1
31.75,7672,86.5F,9.1
31.8,7667,86.5F,9.1
31.85,7666,86.4F,9.1
31.9,7663,86.5F,9.1
31.95,7659,86.5F,9.1
32.0,7654,86.5F,9.1
32.05,7650,86.5F,9.1
32.1,7644,86.5F,9.1
32.15,7640,86.5F,9.1
32.2,7635,86.5F,9.1
32.25,7633,86.4F,9.1
32.3,7630,86.4F,9.1
32.35,7626,86.4F,9.1
32.4,7624,86.4F,9.1
32.45,7620,86.4F,9.1
32.5,7619,86.4F,9.1
32.55,7616,86.5F,9.1
32.6,7615,86.4F,9.1
32.65,7612,86.4F,9.1
32.7,7608,86.4F,9.1
32.75,7603,86.4F,9.1
32.8,7598,86.4F,9.1
32.85,7591,86.4F,9.1
32.9,7586,86.4F,9.1
32.95,7582,86.4F,9.1
33.0,7576,86.4F,9.1
33.05,7573,86.4F,9.1
33.1,7568,86.5F,9.1
33.15,7565,86.4F,9.1
33.2,7561,86.4F,9.1
33.25,7558,86.4F,9.1
33.3,7556,86.4F,9.1
33.35,7554,86.4F,9.1
33.4,7553,86.4F,9.1
33.45,7551,86.4F,9.1
33.5,7552,86.4F,9.1
33.55,7548,86.4F,9.1
33.6,7547,86.4F,9.1
33.65,7542,86.4F,9.1
33.7,7535,86.4F,9.1
33.75,7534,86.4F,9.1
33.8,7529,86.4F,9.1
33.85,7520,86.4F,9.1
33.9,7515,86.4F,9.1
33.95,7510,86.4F,9.1
34.0,7505,86.4F,9.1
34.05,7502,86.4F,9.1
34.1,7500,86.4F,9.1
34.15,7495,86.4F,9.1
34.2,7492,86.4F,9.1
34.25,7489,86.4F,9.1
34.3,7490,86.4F,9.1
34.35,7488,86.4F,9.1
34.4,7490,86.4F,9.1
34.45,7485,86.4F,9.1
34.5,7484,86.4F,9.1
34.55,7484,86.4F,9.1
34.6,7481,86.4F,9.1
34.65,7469,86.4F,9.1
34.7,7463,86.4F,9.1
34.75,7455,86.4F,9.1
34.8,7451,86.4F,9.1
34.85,7446,86.4F,9.1
34.9,7440,86.4F,9.1
34.95,7438,86.4F,9.1
35.0,7435,86.4F,9.1
35.05,7431,86.4F,9.1
35.1,7430,86.4F,9.1
35.15,7427,86.4F,9.1
35.2,7426,86.4F,9.1
35.25,7423,86.4F,9.1
35.3,7418,86.4F,9.1
35.35,7412,86.4F,9.1
35.4,7406,86.4F,9.1
35.45,7405,86.4F,9.1
35.5,7403,86.4F,9.1
35.55,7398,86.4F,9.1
35.6,7392,86.4F,9.1
35.65,7389,86.4F,9.1
35.7,7387,86.4F,9.1
35.75,7385,86.4F,9.1
